projectid,name,cat_id,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country
1000104953,Rebel Army Origins: The Heroic Story Of Major Gripes,19,Comics,Comics,GBP,28/01/16 16:59,100,29/12/15 16:59,112.38,successful,27,GB
1000115172,Daily Brew Coffee,22,Food Trucks,Food,GBP,31/03/15 18:06,3500,01/03/15 18:06,21,failed,1,GB
1000117861,Ledr workbook: one tough journal!,8,Product Design,Design,USD,08/10/16 2:00,1000,07/09/16 13:14,47266,successful,549,US
1000120151,Feather Cast Furled Fly Fishing Leaders,8,Product Design,Design,AUD,22/08/15 3:09,2000,23/07/15 3:09,2000,successful,18,AU
1000120287,BB130A,23,Public Art,Art,USD,24/03/13 0:07,25000,12/02/13 1:07,1395,failed,30,US
100012079,Chris Eger Band - New Nashville Record!,3,Music,Music,USD,13/08/14 8:59,12000,14/07/14 22:35,13260,successful,92,US
1000129669,Squatch Watchers,21,Webseries,Film & Video,USD,23/08/13 21:40,10000,24/07/13 21:40,1373.37,failed,54,US
1000131947,Arrows & Sound Debut Album,11,Indie Rock,Music,USD,19/05/12 1:04,4000,19/04/12 1:04,8641.34,successful,157,US
1000132945,Zen in America: a film on Zen Buddhism in North America,9,Documentary,Film & Video,USD,21/10/13 23:00,10000,21/09/13 23:00,15663,successful,213,US
1000134913,Galaxy: Winnie and Friends,24,Illustration,Art,USD,27/01/16 21:47,3000,23/12/15 21:47,17,failed,2,US
1000146991,Help Scott Reynolds Make a New Record!,11,Indie Rock,Music,USD,02/09/12 18:43,15000,03/08/12 18:43,17499.99,successful,277,US
1000160286,"""THE RETURN"" book project",25,Photography,Photography,USD,13/12/13 0:34,15000,13/11/13 0:34,23907,successful,232,US
1000171141,"The Please, Please Me: Studio Premiere",26,Pop,Music,USD,01/09/12 23:36,10000,15/07/12 3:27,12656,successful,181,US
1000182258,WE ARE ONE: STREET MUSIC OF NEW ORLEANS,9,Documentary,Film & Video,USD,01/10/13 6:00,2500,27/08/13 20:17,0,failed,0,US
1000183112,Hot Chicken Takes Over.,5,Restaurants,Food,USD,16/10/14 5:59,40000,16/09/14 2:31,63401,successful,855,US
1000184224,Star and the Snowman,2,Narrative Film,Film & Video,USD,23/02/13 6:04,8000,24/01/13 6:04,9401,successful,154,US
1000190427,Seas of Iron,27,Tabletop Games,Games,USD,19/07/13 3:16,3000,19/06/13 3:16,8105,successful,218,US
1000197321,(In)visible Empire Tees,23,Public Art,Art,USD,02/01/16 0:00,1200,22/11/15 22:47,90,failed,4,US
1000201265,I'LL SEE YOU IN MY DREAMS - narrative feature film,2,Narrative Film,Film & Video,USD,05/02/14 0:57,60000,11/01/14 0:57,61365.16,successful,632,US
1000202062,SkateFrames-Photo frame made from recycled skateboard wood,28,Art,Art,USD,08/05/15 2:53,7500,08/04/15 2:53,3,failed,3,US
1000212914,A Teacher's Travels in China,25,Photography,Photography,USD,13/05/12 23:34,4000,18/04/12 23:34,4866.17,successful,71,US
1000216800,Mothers Into Living Fit Yoga DVD for Moms and Babies,29,Family,Film & Video,USD,19/06/14 17:18,11000,20/05/14 17:18,11055,successful,51,US
1000217634,Mobile barbecue & catering trailer,22,Food Trucks,Food,USD,23/10/14 20:29,13750,24/09/14 3:35,1,failed,1,US
1000226576,Following the Call - A Novel,30,Fiction,Publishing,USD,01/02/16 8:06,13500,02/01/16 8:06,0,failed,0,US
1000227361,UNDERWATER,4,Film & Video,Film & Video,USD,26/03/12 6:00,9500,13/02/12 19:00,9660,successful,121,US
1000230071,The Fanalyzers: Views from the Stands,21,Webseries,Film & Video,USD,18/10/13 20:20,60000,18/09/13 20:20,635,failed,5,US
1000232288,Empires at Sea,27,Tabletop Games,Games,USD,23/06/15 12:47,25000,24/05/15 12:47,37199,successful,448,US
1000233415,Teachers In The Sky,9,Documentary,Film & Video,USD,18/06/16 7:00,250000,19/04/16 23:53,65,failed,2,US
1000234595,Fashion removeable decoration jewel accessory hells shoes,31,Accessories,Fashion,EUR,13/10/16 11:59,12000,13/09/16 11:59,137,failed,2,IT
1000235465,TO RUSSIA WITH LOVE AND SIMON,28,Art,Art,USD,22/06/16 18:10,5000,23/05/16 18:10,587,failed,8,US
1000235643,HIIT Bottle»,7,Drinks,Food,USD,27/04/15 19:33,15000,13/03/15 18:33,124998,successful,2784,"N""0"
1000243793,"""JurassicJurassix"" by The Guilt",32,Rock,Music,USD,09/04/15 0:10,850,23/02/15 0:10,485,failed,13,US
1000245024,Safer Home,33,Hardware,Technology,CAD,03/07/15 5:52,50000,03/06/15 5:52,0,failed,0,CA
1000252415,"Pantochino Productions: ""Cinderella Skeleton, the Musical""",18,Theater,Theater,USD,08/07/11 15:08,15000,09/05/11 15:08,15425,successful,144,US
1000256760,"Raise the Woof, expanding the love (Canceled)",14,Design,Design,CAD,07/08/15 21:46,15000,08/07/15 21:46,700,canceled,6,CA
1000257563,"""Flying"" Carpets from Azerbaijan, Iran and Turkey/Anatolia",34,Weaving,Crafts,GBP,29/04/15 19:55,5000,30/03/15 19:55,2,failed,1,GB
1000260691,Gizbee» Unlimited Removable Storage for Your Travel Photos,35,Gadgets,Technology,USD,25/03/16 19:30,87000,29/02/16 20:30,2030,canceled,15,US
1000261018,Diposta - liberating people from their postal mailbox.,36,Web,Technology,USD,23/08/16 13:18,100000,24/07/16 13:18,141,failed,3,US
1000268182,My Future Just Passed - Debut CD - Jazz Trio,37,Jazz,Music,USD,03/12/14 21:11,4000,03/11/14 21:11,4795,successful,95,US
1000278154,"Loot and Recruit - A quirky, combative, deck building game",27,Tabletop Games,Games,USD,10/04/15 5:59,13000,10/03/15 13:19,2453,canceled,65,US
1000282287,Babe Ruth's Family Kitchen - Gourmet Hot Dogs and Condiments,6,Food,Food,USD,13/10/15 0:59,25000,08/09/15 0:59,0,canceled,0,US
1000291122,VOTE (anyone but) TRUMP Candle,8,Product Design,Design,GBP,24/08/16 5:59,500,12/07/16 17:31,218,failed,6,GB
1000291263,"""It's Complicated"" by Ariana Salome",38,Ready-to-wear,Fashion,USD,09/06/16 22:52,68000,10/05/16 22:52,0,failed,0,US
1000294559,Secular Solstice 2014,39,Festivals,Theater,USD,27/10/14 0:50,7500,02/10/14 1:50,8157.01,successful,164,US
1000320473,Uncommon Rhythm - Season One,4,Film & Video,Film & Video,USD,13/09/13 8:55,29700,15/08/13 11:16,10410,failed,76,US
1000328150,Legacy of Svarog | a Unique 3D Action RPG and Adventure Game,40,Video Games,Games,USD,30/10/15 5:33,50000,31/08/15 6:33,1410,failed,38,US
1000328328,ANVIL Beard,17,Fashion,Fashion,GBP,06/02/15 13:00,2000,15/12/14 19:13,61,failed,9,GB
1000331311,AWE - Antediluvian Wars: Extermination Tactical Card Game,27,Tabletop Games,Games,USD,31/08/14 0:00,13000,01/08/14 0:02,1811,failed,34,"N""0"
1000332383,Road to the Shire,9,Documentary,Film & Video,USD,14/02/12 21:00,4000,11/01/12 20:13,4045,successful,29,US
1000333671,Spiral Electric Skylab Recording,32,Rock,Music,USD,26/02/15 18:54,500,04/02/15 18:54,1540,successful,31,US
1000334074,The Locals Only Shirt,17,Fashion,Fashion,USD,18/05/12 7:59,500,01/05/12 7:11,754.82,successful,36,US
1000335422,"""Where is Home?"" Anthology",41,Anthologies,Comics,CAD,10/07/14 0:09,4000,10/06/14 0:09,4944.5,successful,153,CA
1000338818,"Diet! No thanks, I'd rather lose weight",42,Publishing,Publishing,EUR,30/10/16 17:13,10000,31/08/16 18:13,88,failed,9,DE
1000339877,The Onrust Project and Two Row Treaty of 1613,18,Theater,Theater,USD,16/06/13 0:58,5000,17/04/13 0:58,110,failed,2,US
1000340977,My Coffee Box,7,Drinks,Food,USD,16/06/14 22:43,3000,17/05/14 22:43,1027,failed,18,US
1000344383,ËTu Sabes? (You Know?) a music collaboration by Daya & Edu,3,Music,Music,USD,13/12/12 0:12,4500,30/10/12 8:53,409,failed,10,US
1000348776,P/O/V Comic and Literary Anthology,19,Comics,Comics,USD,06/03/12 18:25,4289,21/01/12 18:25,474,failed,14,US
1000354338,"""Little Shop of Horrors"" at the Browncoat Theatre!",18,Theater,Theater,USD,14/08/12 20:05,2000,30/06/12 20:05,2075,successful,40,US
10003650,Glyscian Debut Album Recording (Canceled),32,Rock,Music,USD,26/05/12 4:25,15000,27/03/12 4:25,151,canceled,4,US
1000374001,The Dark Waters Project,11,Indie Rock,Music,USD,07/04/13 5:55,10000,20/02/13 1:48,10414,successful,113,"N""0"
1000386601,Los Angeles International Student Film Festival,4,Film & Video,Film & Video,USD,03/04/14 17:24,1500,04/03/14 17:24,1932.99,successful,29,US
1000389241,Bob Contemplates Ending It All,43,Shorts,Film & Video,USD,27/01/14 2:00,3000,18/12/13 20:54,3755,successful,52,US
1000392220,The Girls Bathroom,21,Webseries,Film & Video,USD,31/07/11 6:00,2000,06/07/11 16:35,2252.99,successful,45,US
100039820,Best Spray Bottle Ever - SureShot,35,Gadgets,Technology,CAD,07/03/15 16:57,25000,05/02/15 16:57,3,failed,3,CA
1000399155,New Lasagna,5,Restaurants,Food,USD,17/10/14 11:13,5000,18/08/14 11:13,0,failed,0,US
1000405957,Just Another Reality Show: Season 3,21,Webseries,Film & Video,USD,11/05/14 23:04,500,10/04/14 23:04,756,successful,8,US
1000413719,Backroads EP Processing Costs,44,Electronic Music,Music,USD,26/10/12 23:00,200,11/10/12 23:32,274.05,successful,14,US
1000415969,Disaster Area: A Podcast,45,Radio & Podcasts,Publishing,USD,28/12/16 17:58,1000,28/11/16 17:58,125,live,3,US
1000422671,Titanium EDC Bottle Opener,8,Product Design,Design,USD,20/11/16 16:23,500,21/10/16 16:23,156,failed,4,"N""0"
1000427280,Fishtacular - The Ultimate Fishing Tool (Canceled),46,Apps,Technology,CAD,25/05/15 20:04,50000,23/04/15 20:04,11336,canceled,19,"N""0"
1000428719,"""Eat Like A Gilmore"" Cookbook",47,Cookbooks,Food,USD,17/04/16 4:00,20000,14/03/16 12:39,47273,successful,1261,US
100044420,PATTY AT THE PARTY - a mumblecore horror feature,21,Webseries,Film & Video,USD,04/07/10 21:12,5000,29/04/10 7:14,50,failed,3,US
1000445513,Bold Threadz,17,Fashion,Fashion,USD,20/09/12 21:59,5400,02/08/12 4:47,5858,successful,131,US
1000450327,Happy Fix USA,48,Apparel,Fashion,USD,01/10/14 17:06,1750,17/08/14 17:06,1805,successful,25,US
1000454605,Be part of the next SMB Project album,11,Indie Rock,Music,USD,24/03/12 2:00,1000,12/02/12 17:33,1455,successful,41,US
1000465399,DAYTRADER - A Financial Board Game,27,Tabletop Games,Games,USD,13/03/13 15:16,19500,05/02/13 16:16,20269,successful,491,US
1000476123,Mama's Meatballs,6,Food,Food,USD,07/08/14 18:52,100,08/07/14 18:52,0,failed,0,US
1000479996,"Ebony Child:Music Artist drops New Album, Comic Book, & Film",26,Pop,Music,USD,21/05/16 1:46,10000,21/04/16 1:46,10,failed,1,US
1000481607,Alpha Omega E.P.,49,Metal,Music,USD,30/09/16 22:34,1000,05/09/16 22:34,472,failed,13,US
1000491830,The Legendary YD 2016 Tour,50,Hip-Hop,Music,USD,18/05/16 19:48,6325,19/03/16 21:51,10,failed,2,US
1000499845,MEMORY LANE  ,9,Documentary,Film & Video,USD,08/11/10 22:48,20000,09/10/10 22:48,270,failed,4,US
1000509854,"Jane Brown... a story of courage, survival and love",51,Periodicals,Publishing,USD,31/12/11 0:01,25000,31/10/11 23:01,0,failed,0,US
1000514796,CASE:Lynk - Your EMERGENCY iPhone Charge & Sync Cord,8,Product Design,Design,USD,11/10/12 6:59,125000,06/09/12 6:59,3012,failed,67,US
100051531,Cat - Pre-Professional Ballerina,52,Dance,Dance,USD,06/10/14 13:24,3400,07/08/14 13:24,0,failed,0,US
1000519001,Wordwright: re‡de‡fin‡ing word play,27,Tabletop Games,Games,USD,29/12/15 2:00,2000,21/11/15 14:12,14794,successful,624,US
1000521061,SERiNO'S PiZZA ROLLiNG PiZZA LAB (Food Truck),22,Food Trucks,Food,USD,30/09/14 23:39,20000,01/09/14 23:39,0,failed,0,US
1000521421,A photobook of life in Japan,25,Photography,Photography,USD,14/03/13 2:11,3200,12/02/13 3:11,568,failed,11,US
1000524949,Operation: Make Stuff,40,Video Games,Games,USD,18/10/12 4:46,200,18/09/12 4:46,306.72,successful,36,US
1000535116,Xi3: Help us Usher in the Post-PC Era,53,Technology,Technology,USD,28/10/12 8:33,250000,28/09/12 9:33,90771,failed,120,US
1000537760,help our wood shop buy a lathe & hopefully a laser engraver,23,Public Art,Art,USD,13/11/14 21:50,650,24/10/14 21:50,0,failed,0,US
1000542390,Spirits Asunder,4,Film & Video,Film & Video,GBP,31/03/15 5:52,500,01/03/15 5:52,5,failed,1,GB
1000543883,Store Facades - Paintings out of Pittsburgh,54,Painting,Art,USD,30/03/13 2:02,800,28/02/13 3:02,1062.57,successful,20,US
1000545028,Trackside - Independent documentary featuring Marshals,9,Documentary,Film & Video,GBP,02/03/14 22:00,5000,24/01/14 12:49,5037,successful,47,GB
1000549881,"Brandi Emma promotes her new, 5-song EP because of YOU!  Pre-Order Right Here :)",11,Indie Rock,Music,USD,12/07/10 8:59,10000,12/06/10 1:44,4006,failed,44,US
1000551777,Gantish - Online Reward Chart Creator for Parents,55,Software,Technology,EUR,16/09/15 15:37,4000,17/08/15 15:37,282,failed,12,IE
1000553538,URBNPOP / CHRIS HAMER SKETCHBOOK,16,Art Books,Publishing,USD,18/07/12 16:58,1400,18/06/12 16:58,2535,successful,49,US
1000558429,Sellegg start up classified site,36,Web,Technology,USD,20/03/16 19:26,15000,02/03/16 2:13,25,failed,1,US
1000566862,Farmer Brown's Analogy Farm Game for ages three and above,13,Games,Games,USD,30/10/13 2:32,25000,27/09/13 3:32,65,failed,3,US
1000567557,The Seven Rays,56,World Music,Music,USD,09/04/12 2:52,3000,24/02/12 2:52,260,failed,8,US
100057323,David LaRocca: Star Spawn,24,Illustration,Art,USD,22/10/15 4:30,650,21/09/15 14:44,2354.5,successful,53,US
1000577059,Calendars for Cats,57,Photobooks,Photography,USD,29/12/15 14:56,1000,29/11/15 14:56,95,failed,3,US
10005784,DOGMA - Short Film,58,Drama,Film & Video,GBP,20/03/15 1:00,750,06/03/15 15:13,756,successful,15,GB
1000581546,Project U-Neek,28,Art,Art,GBP,08/05/13 1:06,1500,08/04/13 1:06,1515.5,successful,19,GB
1000581804,Architecture & Design Website,59,Architecture,Design,GBP,28/09/14 19:47,500,29/08/14 19:47,0,failed,0,GB
1000586849,#NotMyPresident Protest Tees,48,Apparel,Fashion,USD,22/12/16 4:46,2500,22/11/16 4:46,25,live,1,US
1000590709,Musical Light Suit,33,Hardware,Technology,USD,28/06/11 9:09,6000,19/05/11 9:09,20,failed,2,US
1000600012,YA science-fiction/comedy book series: Zeek Kim'lo,60,Young Adult,Publishing,GBP,16/06/16 1:05,10000,17/05/16 1:05,1,failed,1,GB
1000600526,Rising Star - Unsigned Artist Compilation Album,50,Hip-Hop,Music,GBP,22/02/13 22:32,600,08/01/13 22:32,0,failed,0,GB
1000602156,HYDRA DICE,13,Games,Games,USD,06/06/12 7:42,12000,07/05/12 7:42,3100.66,failed,89,US
1000620551,Islamic World - Strategic gaming with Islamic values,61,Mobile Games,Games,GBP,19/08/14 12:52,1925,20/07/14 12:52,293,failed,5,GB
1000624031,Hangar 1 Foundation,62,Flight,Technology,USD,18/10/14 19:40,8500,03/09/14 19:40,1355,failed,4,US
1000627718,Adele's Heart is Going to Edinburgh,18,Theater,Theater,USD,18/06/12 14:33,7500,14/05/12 14:33,8315,successful,67,US
1000629643,ODIN: Android 'Smart' Projector to Carry in Your Pocket,33,Hardware,Technology,USD,08/07/14 5:59,250000,28/05/14 13:54,268192,successful,561,US
1000638156,Jenny's Photography - Start own business and travel!!,63,Fine Art,Photography,GBP,29/08/14 18:14,500,30/07/14 18:14,10,failed,1,GB
1000639526,Kaleidoscope Man,4,Film & Video,Film & Video,GBP,22/12/12 3:59,60000,15/11/12 22:46,5487,failed,90,GB
1000644119,OperaciÑn Douve,64,Action,Film & Video,EUR,01/05/16 19:09,100,02/03/16 19:09,20,failed,2,ES
1000648117,42 Sketches 2013,16,Art Books,Publishing,USD,07/04/13 22:16,1000,18/03/13 21:16,2883.5,successful,78,US
1000648918,"ADVENT SAGA, DIGITAL TACTICAL CARD GAME",40,Video Games,Games,USD,31/07/14 16:01,70000,01/07/14 16:01,15542.11,failed,260,US
1000650960,"Crap Amidst Hilarity, vol. 1",65,Playing Cards,Games,USD,22/03/16 0:36,7500,22/01/16 1:36,942.25,failed,55,US
1000654344,"Packable, Fashionable & Protective; the ULTIMATE sun hat.",17,Fashion,Fashion,USD,07/06/14 1:00,36000,01/05/14 17:36,91003.67,successful,750,US
1000656794,VoxCube - 8x8x8 RGB LED chainable cubes,66,Makerspaces,Technology,AUD,01/04/16 0:15,129000,02/03/16 0:15,11601.5,failed,32,AU
1000659557,New world disorder,67,Punk,Music,USD,05/07/16 1:46,5000,05/06/16 18:46,0,failed,0,US
1000674477,"""GENERATION FX"" a documentary film.",9,Documentary,Film & Video,USD,09/12/12 4:57,100000,10/10/12 4:57,8085,failed,37,US
1000682368,"Rack and Ruin, Out of Orbit 3",30,Fiction,Publishing,GBP,17/06/15 21:52,2500,18/05/15 21:52,1315,failed,29,GB
1000684975,Help me prepare for an upcoming art show,54,Painting,Art,USD,24/04/16 21:25,1200,10/03/16 21:25,2,failed,2,US
1000694855,STREETFIGHTERZ WHEELIE MURICA,4,Film & Video,Film & Video,USD,20/09/14 6:59,6500,06/08/14 21:28,555,undefined,0,US
1000697657,The Forever Rechargeable Talking Super Capacitor Flashlight,33,Hardware,Technology,CAD,23/10/13 23:36,2000,23/09/13 23:36,656,failed,18,CA
1000699196,COVENANT,37,Jazz,Music,USD,07/12/14 18:02,32000,07/11/14 18:02,4670,failed,42,US
1000707541,Elephant Gun Media Blitzkrieg,3,Music,Music,USD,04/11/11 6:00,777,20/10/11 23:51,923,successful,36,US
1000710630,Our Shared Stories: An Afghan Diary,41,Anthologies,Publishing,USD,20/08/16 16:22,7500,06/07/16 16:22,9500,successful,86,US
1000719127,The Gentle Art Of Tutelage,2,Narrative Film,Film & Video,USD,20/03/13 18:38,50000,19/01/13 18:38,2161,failed,26,US
1000725978,"Air Bonsai | Create your ""little star""",8,Product Design,Design,USD,01/03/16 12:18,80000,21/01/16 12:18,843743,successful,3784,US
1000727191,"Canadian Invasion's ""Choose Your Own Adventure"" Album",26,Pop,Music,USD,20/12/10 5:59,2000,26/10/10 1:17,2036,successful,38,US
1000727905,Wrist Covers,8,Product Design,Design,USD,24/04/15 19:39,9500,23/02/15 19:39,0,failed,0,US
1000741180,High Stakes: A Short Film,43,Shorts,Film & Video,USD,03/11/13 21:55,5000,09/10/13 21:55,5120,successful,81,US
1000741387,Fomatek: Foam Laptop Desks & Music Stands Elevate your Gear.,8,Product Design,Design,USD,26/09/15 22:02,10000,27/08/15 22:02,805,failed,10,US
1000752960,100 Risings,9,Documentary,Film & Video,GBP,10/07/14 10:36,500,10/06/14 10:36,10,failed,1,GB
1000754401,Sky Scrapers Project,27,Tabletop Games,Games,USD,16/06/15 21:44,50000,17/05/15 21:44,1825,failed,32,US
1000758916,Keys to the Moon's First Full Length Album!,3,Music,Music,USD,01/10/16 5:59,4000,01/09/16 15:32,4629,successful,37,US
1000767040,Strait Jacket _ Tangle Prevention For Headphones,8,Product Design,Design,USD,23/11/16 3:35,30000,24/10/16 3:35,1041,canceled,46,US
1000770149,Worrisome Wilf's Beastly Bedtime,68,Children's Books,Publishing,GBP,12/06/13 13:59,5500,13/05/13 13:59,5721,successful,140,GB
1000772297,"Airfoil Click Pen: Aviation Inspired, for gel & rollerball",8,Product Design,Design,USD,05/10/14 8:00,5000,09/09/14 20:17,26407,successful,327,US
1000776914,"VLC for the new Windows 8 User Experience (""Metro"")",55,Software,Technology,GBP,29/12/12 13:54,40000,29/11/12 13:54,47056.86,successful,3080,GB
1000777557,Raise funds for the new JonathanGluck and the Wayward Kind album!,32,Rock,Music,USD,19/09/10 5:59,4000,30/07/10 23:23,30,failed,2,US
1000781363,The Spider and the Fly,68,Children's Books,Publishing,USD,09/07/14 9:10,19650,09/06/14 9:10,20313,successful,164,US
1000781512,Knock Down Drag Out,43,Shorts,Film & Video,USD,10/01/12 5:59,800,09/12/11 0:23,850,successful,19,US
1000785030,Day of the Dead Tyrion Lannister Calavera Vinyl Stickers,24,Illustration,Art,USD,17/01/15 4:12,275,03/01/15 4:12,642,successful,40,US
1000786724,Harold VS The Horde,40,Video Games,Games,USD,18/01/15 7:49,14000,19/12/14 7:49,113,failed,18,US
1000788629,Camille Peruto - NEW ALBUM,26,Pop,Music,USD,06/07/16 0:02,15000,07/05/16 0:02,18009,successful,69,US
100078996,APP - CUSTOM SHOES/ Calzado Personalizado - MADAME MARIAN,46,Apps,Technology,MXN,21/12/16 6:59,55000,19/11/16 4:05,1700,live,7,MX
1000802137,Tye's Photographic Journey.,69,People,Photography,USD,12/12/15 7:06,2500,12/11/15 7:06,0,failed,0,US
1000811882,The Sword of Asumi Visual Novel,40,Video Games,Games,GBP,10/11/14 11:30,2500,19/10/14 20:35,3097,successful,107,GB
1000823935,Wax Stacks LP Record Crates,14,Design,Design,USD,15/07/15 17:55,35000,15/06/15 17:55,39209,successful,120,US
1000827504,The JANIS JOPLIN Project (Canceled),25,Photography,Photography,USD,21/08/12 5:09,11000,10/07/12 2:31,75,canceled,1,US
1000834930,Strawberry Fields Caf_ and Patisserie,6,Food,Food,CAD,23/01/17 17:14,50000,01/12/16 21:16,0,live,0,CA
1000844246,Tofu: Stylish T-Shirts that are Made by Freedom,48,Apparel,Fashion,USD,10/08/15 5:30,3000,22/07/15 15:31,23079,successful,140,US
1000850525,American Confines vol 1: Cincinnati in 52,57,Photobooks,Photography,USD,20/07/16 5:59,17500,20/06/16 8:10,656,failed,14,US
1000853310,Good Company,43,Shorts,Film & Video,USD,27/02/12 4:22,500,28/01/12 4:22,5,failed,1,US
1000865260,"Launch ""Romeo and Juliet in Yiddish"" in New York City",4,Film & Video,Film & Video,USD,10/06/11 22:17,5000,17/05/11 22:17,0,failed,0,US
1000869383,The Case of the Silent Girl - a dark Sherlock Holmes tale,19,Comics,Comics,SEK,18/07/16 20:16,4450,18/06/16 20:16,8503,successful,47,SE
1000883509,Chasing Blue at The Trans Theatre Festival,39,Festivals,Theater,USD,01/06/16 6:59,4000,29/04/16 19:53,4813,successful,105,US
1000885772,Mooli London | Designer Camera & Tech Bag - The Hampton,8,Product Design,Design,GBP,10/10/15 0:59,15000,04/09/15 16:33,15267,successful,85,GB
100089599,CLOTHING LABEL WITH A 90's STATE OF MIND - MADE IN FRANCE,48,Apparel,Fashion,EUR,18/12/16 18:51,3286,18/11/16 18:51,2866,live,32,FR
1000896053,The Ultimate Custom Shark Rig,8,Product Design,Design,USD,24/04/15 15:58,8000,25/03/15 14:58,0,failed,0,US
100091944,Climbing 4 Kidz,4,Film & Video,Film & Video,CAD,08/05/14 15:37,38875,09/04/14 22:39,0,failed,0,CA
1000922108,Tugboat Collective's Inaugural Season,18,Theater,Theater,USD,11/10/12 4:00,9000,12/09/12 5:32,10046,successful,115,US
1000932522,Geocaching Trading Cards - History Series II,13,Games,Games,USD,03/03/13 20:14,1500,01/02/13 20:14,1620,successful,52,US
1000937140,The FUN n' EASY CookBook For Children's Well.....Fun Cooking,42,Publishing,Publishing,USD,09/12/12 17:59,3500,07/11/12 19:53,0,failed,0,US
1000940032,Space Trucker,40,Video Games,Games,USD,08/12/16 8:20,150,08/11/16 8:20,60,live,4,US
1000942804,High,9,Documentary,Film & Video,USD,02/07/16 4:55,5250,02/06/16 4:55,0,failed,0,US
1000953875,Club Wick3d,40,Video Games,Games,USD,23/03/15 21:28,300000,22/01/15 22:28,1,failed,1,US
1000968500,Modern Handmade Ceramics: Paper & Clay,70,Ceramics,Art,USD,24/05/13 4:48,3000,10/05/13 4:48,4386,successful,94,US
1000983983,Join me in completing my first Solo Project CD!,26,Pop,Music,USD,30/09/11 22:05,2000,09/08/11 23:19,170,failed,7,US
1000988678,Ashley's Beauty Tool Organizer Kit,12,Crafts,Crafts,USD,30/08/14 0:59,7000,06/08/14 21:31,0,failed,0,US
